puuid,leaguePoints
0m-yoydsHk8f-81CY_XHLGtLf9JGNVISKZbRABH2j_qbFrTX0pIklbpf5_PKj7NJ-CtCBE6Sz4RayA,995
YXqb6Xv-hsydNwzUkI-Ql5Du3VOAZQKrHMzE_h0BZMHqsLxMwSNRVHDE9nb7VV-pAeeUBQDc0MNQ9w,994
lfJ3tjkvy6pwsJDAsIPTlM9JnoetUNYVtqUiusX3SzTgOXEcykgpPSkxrXJuqcgMT4kjm0FN8XEo1g,994
mGqbA7ZykkaKoEo-7ob-IrWmQKdkgsSz5Io0F6i8i7ZrABrzZLP9tGosALJVV2QTGEep-THPTxAiyw,994
TjyvO6J5VRGvy6pHz4aPIkjOl4VI09iQ0Eo7nRsgQC6Uav6zbFaK7-ytLjt2zl5f4ygsGJfb1IbhCQ,993
KEDFa_wOzdcCO0dK2BNxACYLXbDEPnsOIcHkb9YOdjLnVFHSpZrfi5Y-yuVLXeYaNWAcjuzSiPa0fQ,993
A8ZRgxJ1hWUCVqzH2Ph1AIk4hRy1nrJrjv_3Hkv6ewYowfpJ2BYYSksjW9lsqX5IeAxHfqnUhvc4lQ,993
wxZFoIuIqfKrCQef-2bkS2yGCT5qSXOAhKFy3QuM6e2rkH79ztSqQvyUOj5CXrDwxhkmYmumReqwDg,993
w61Y67b1WY7oBYkwDOQvDUhK7kPlcgQ74Dj403dNIIuRf7dC-3LKfkOogCOqh8INdZpUVTYH2SNiCw,992
Jxr6exHon779zwK2nIsEc1m6DyYGIhSzB21I5e7xrOPFC6YOSSd-cCwk9zccdZPxpqmmFYKXlP8SPQ,992
OfD95695LVfxz0tRkVSBpsIora5AlzgT8sjufsnEwDCNDa3nRzA5FOetCRAAajqluHXA3mFSTJ__YA,992
Kcg8OJUQdNPXuZJ8yIUOJ45PE1qi3cfBaiSf4QYihQyvHNsEvOHAEUgP382QvJwvDKGOQ3GhG77-HA,992
uAsIxc7JY0aA46bx21z77WY36kEyT1lRM_BkRBDA-82O_HxU0zETYa01rbRuK35amE3wDNT7HImjpw,991
hLJPJYSuHkyPo6Lp27GGkmJZGeoMMKwNHURGCic4LUzAMgcK1_aJlHuKei8FgZ9QivhQsHvzWtdb6g,991
pm_4rtyJA3lNf4QOD3GMKrZEXzIKVpYHQfIqjM0saFmP9A5JuTuX23-I8jCC_kH0S8t7Y_zWOHN0hg,990
mLkGJYVc0r2u5ANFaIKRJqvwRy3z2OBMq_Np1OePW_nvdMZtSTQVLDMq4C2hK2L4Q_fbChGMjMP78w,989
iwmp9CfnDmnlV91wE8Bimo_skM0aAdN1ZWkY8kaxpHfieHPR7EUVRIcQXxCyEwN5GNVFgUuxX_1bnQ,988
FxwY-RMddxxdzDYZRPr8lnxkNzOqlNhKGAF0idbcdnmeNWnnBuCCy3vvmt8Pshdf6nu6RgqJpUveHg,988
VBd9yS7Igb5MuUiNMFTsMRZkSj1QxDkZeYKBgf0axPt-n33OsF7n0dVC0vRXACdwnbAoBm-q-NhBhQ,986
yCPnHgcQu-jq_IRzvDn5-Is9osSVmp9fhiqeDdkmZmbASpcN3mHVUlLgQIRU-ThHzziAjihzShCFqA,986
GhFBSdWZ4MxYWD7yMF3iO1_9FZNNafDU1yyx8iw47jIIiO3nS6a__KYfaM3WbcSm_ud7TPTcEKZWeQ,985
yFAVIYu5pseezxx7QniEuxvbXgH8O5Ng0vXO8rGkAwKV41J3KcSzQ_imcWNHfs2zWhC9tm11OinkMg,984
QX5jeptGzsONZc3uIgQkbnpKz14zUoyRBK8AoZOl2E_C-3Ap1TsUR_lz4PBTuc2EU2nJj2iyx81CDA,984
XnSaah3P5VQN-Qhk2KUp7z_0pXuxlBsCvAGgdVzOpEHIZpl_MD8xlV3iP1i4IbQeNghL0UxT2vW8gg,984
-ZXo5sk5ZZuNFdKr5w2u3cN_fGSUTewgRnYBjIiF9Mu97-zHsiF8uqzXXr4NSYHsHxXlJIcFZvjfBg,983
0__8_foE1I00eeVSOBzZQH9jihavHt5d7L2ISV4OwsPJzLkH3rf4k2O1N8b1Nd4FZuV4ZD_sZUVjGA,983
-CjBnNXFKqTte7IEywZw36MYTbtkrwvBBzDdj8vBYOHlFqGrSLGxdh8nBKzwjNBsRY7QiseUl54Lmw,982
9MFbPH606KPpGZKq1C874SZFPUXG-gsnspgx02c82sVcdnBrIuzSWsmm8RmfNLG_E9d-L0jQk0PeBA,981
KMFsJLhFuphVbGUTkmJR4k7yyL5wKF5hBYM2XMhJq4xX7IGyWTwX0CJhSkFNlatCOHhGY0kxMC5OZg,981
LBMq3aGyODr5GblHQ5FH_84RzHpNfCrzDC4yLVjP_ni8RNd7F8d0PfWJnm6Zgt46293aG2OPXfy-ew,980
tprhPkoQGcIWYOWMOOYGe8ROk5fVNTQ54OMO1wtpTqUYpsRJfFuGZdTXSwuZtc931mFHfYVwwDjLpg,980
X3mge2BypGtwjOQYdVtMXLByyDttrBP0HEyHsrP5c6enYI-HRIIfd9cbZPUdxzD-T1rU2rN7eF_V8Q,980
rsVd2lDJ7rMnbXGo8NEWp3oA65DowxTaH82ejUUbohCvymT7F9TIPst0stmykvwrvxor7DJaFtybMQ,980
